,3-Oxodecanoyl-CoA,3-Oxohexanoyl-CoA,3-Oxooctanoyl-CoA,3R-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,Butanoyl-CoA,CO2,CoA,Decanal,Decanoyl-CoA,H2O,HCO3-,Hexanoyl-CoA,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Nonane,Octanoyl-CoA,Orthophosphate,Propionyl-CoA,Pyruvate,S-Hydroxydecanoyl-CoA,S-Hydroxyhexanoyl-CoA,S-Hydroxyoctanoyl-CoA,trans-dec-2-enoyl-CoA,trans-hex-2-enoyl-CoA,trans-oct-2-enoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Target,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
trans-hex-2-enoyl-CoA + NADPH + Hplus → Hexanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,,
Malonyl-CoA + Hexanoyl-CoA → CoA + CO2 + 3-Oxooctanoyl-CoA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxooctanoyl-CoA + NADH + Hplus → S-Hydroxyoctanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,
S-Hydroxyoctanoyl-CoA → trans-oct-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,,
trans-oct-2-enoyl-CoA + NADPH + Hplus → Octanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,-1,,
Malonyl-CoA + Octanoyl-CoA → CoA + CO2 + 3-Oxodecanoyl-CoA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,
3-Oxodecanoyl-CoA + NADH + Hplus → S-Hydroxydecanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
S-Hydroxydecanoyl-CoA → trans-dec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,,
trans-dec-2-enoyl-CoA + NADPH + Hplus → Decanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,,
Decanoyl-CoA + H2O → CoA + Decanal,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Decanal → Nonane + CO2,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,,
