,3-Oxodecanoyl-CoA,3-Oxododecanoyl-CoA,3-Oxohexadecanoyl-CoA,3-Oxohexanoyl-CoA,3-Oxooctanoyl-CoA,3-Oxotetradecanoyl-CoA,3R-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,Butanoyl-CoA,CO2,CoA,Decanoyl-CoA,Dodecanoyl-CoA,Fdred,H2O,HCO3-,Hexadecanal,Hexadecanoyl-CoA,Hexanoyl-CoA,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Octanoyl-CoA,Orthophosphate,Pentadecane,Propionyl-CoA,Pyruvate,S-Hydroxydecanoyl-CoA,S-Hydroxydodecanoyl-CoA,S-Hydroxyhexadecanoyl-CoA,S-Hydroxyhexanoyl-CoA,S-Hydroxyoctanoyl-CoA,S-Hydroxytetradecanoyl-CoA,Tetradecanoyl-CoA,trans-dec-2-enoyl-CoA,trans-dodec-2-enoyl-CoA,trans-hex-2-enoyl-CoA,trans-hexadec-2-enoyl-CoA,trans-oct-2-enoyl-CoA,trans-tetradec-2-enoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Input,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
3-Oxohexanoyl-CoA + NADH + Hplus → S-Hydroxyhexanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
S-Hydroxyhexanoyl-CoA → trans-hex-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,,
trans-hex-2-enoyl-CoA + NADPH + Hplus → Hexanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
Malonyl-CoA + Hexanoyl-CoA → CoA + CO2 + 3-Oxooctanoyl-CoA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxooctanoyl-CoA + NADH + Hplus → S-Hydroxyoctanoyl-CoA + NADplus,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
S-Hydroxyoctanoyl-CoA → trans-oct-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,,
trans-oct-2-enoyl-CoA + NADPH + Hplus → Octanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
Malonyl-CoA + Octanoyl-CoA → CoA + CO2 + 3-Oxodecanoyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxodecanoyl-CoA + NADH + Hplus → S-Hydroxydecanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxydecanoyl-CoA → trans-dec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,,
trans-dec-2-enoyl-CoA + NADPH + Hplus → Decanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,,
Malonyl-CoA + Decanoyl-CoA → CoA + CO2 + 3-Oxododecanoyl-CoA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxododecanoyl-CoA + NADH + Hplus → S-Hydroxydodecanoyl-CoA + NADplus,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxydodecanoyl-CoA → trans-dodec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,,
trans-dodec-2-enoyl-CoA + NADPH + Hplus → Dodecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,,
Malonyl-CoA + Dodecanoyl-CoA → CoA + CO2 + 3-Oxotetradecanoyl-CoA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxotetradecanoyl-CoA + NADH + Hplus → S-Hydroxytetradecanoyl-CoA + NADplus,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
S-Hydroxytetradecanoyl-CoA → trans-tetradec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,,
trans-tetradec-2-enoyl-CoA + NADPH + Hplus → Tetradecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,,
Malonyl-CoA + Tetradecanoyl-CoA → CoA + CO2 + 3-Oxohexadecanoyl-CoA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,
3-Oxohexadecanoyl-CoA + NADH + Hplus → S-Hydroxyhexadecanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxyhexadecanoyl-CoA → trans-hexadec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,,
trans-hexadec-2-enoyl-CoA + NADPH + Hplus → Hexadecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
Hexadecanoyl-CoA + H2O → CoA + Hexadecanal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hexadecanal → Pentadecane + CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
